ttl	z-score	delta	avg_rtt	std_rtt	ips
1	1.547817604004774	82.408530371529721	82.408530371529721	17.798938574028782	192.168.0.1
5	-0.12626669802282242	12.57532153810773	94.983851909637451	16.152493158700079	200.89.161.149
6	-0.32830544185776744	4.1474223136901855	99.131274223327637	15.125438703332732	200.89.165.150
7	-0.42772998077290819	0	94.068282842636108	14.14015532545374	200.89.165.85
8	-0.42772998077290819	0	88.600766658782959	12.517410206276182	200.89.165.197
9	-0.42772998077290819	0	96.26864164303511	11.439315291082057	200.89.165.222
10	0.1817280311040988	25.423097610473633	124.55437183380127	59.493162416690538	185.70.203.32
11	3.3840766017776192	159.00673866271973	283.561110496521	52.039370097898882	89.221.41.171
12	-0.42772998077290819	0	278.52738499641418	30.486348864133976	154.54.9.17
13	-0.42772998077290819	0	273.21201715713892	35.746071326469448	154.54.47.29
14	-0.42772998077290819	0	265.26941061019897	36.989953437424262	154.54.28.49
15	2.8775584567392598	137.8777027130127	421.43881320953369	40.164055134530201	154.54.24.221
16	-0.42772998077290819	0	408.12138915061951	37.723829103206604	154.54.40.109
17	-0.42772998077290819	0	406.75106644630432	41.18862445771056	154.54.41.61
18	-0.42772998077290819	0	408.98320078849792	57.175862350125108	154.54.43.21
19	-0.42772998077290819	0	419.07880902290344	63.26376479626088	154.54.44.165
20	-0.42772998077290819	0	415.07782340049744	43.469180137596197	154.54.58.70
21	-0.42772998077290819	0	383.24440717697144	44.020619450734181	154.54.38.210
22	-0.40643754151913397	0.8881986141204834	422.32701182365417	43.992639631144371	154.54.72.106
23	0.50241061309281965	38.800138235092163	461.12715005874634	40.206154260191767	154.54.62.254
24	-0.42772998077290819	0	447.64521718025208	46.267380906823867	149.6.58.42
25	0.066558028593498089	20.618864737058914	481.74601479580525	48.54992496231651	185.141.124.144
26	-0.42772998077290819	0	445.98565697669983	42.255025248819159	194.190.254.118
27	-0.42772998077290819	0	450.99518299102783	41.164807269690293	93.180.0.172
28	-0.42772998077290819	0	445.5102065513874	48.226579523079494	188.44.33.30
29	-0.42772998077290819	0	466.32517576217651	39.873553141538217	188.44.33.2
30	-0.42772998077290819	0	463.83653283119202	43.555688550363769	188.44.50.103
